track_id,track_name,artist_name,album_name,genres,emotions,instrumentals
46,history,no name,зам заяа,"electronic,instrumentalpop,newage,pop,reggae,techno","deep,film,fun,melodic,retro,upbeat","bass,beat,computer"
47,үдшээр,no name,зам заяа,"drumnbass,easylistening,electronic,reggae,soundtrack,triphop","dream,film,melodic","drummachine,keyboard,piano"
48,оргил (соло)- i love you,no name,зам заяа,"ambient,electronic,experimental,industrial,pop","christmas,dream,film,love,melodic,motivational,sexy,uplifting","beat,classicalguitar,computer"
49,тука (соло)- love,no name,зам заяа,"ambient,dance,electronic,experimental,newage,orchestral,world","dark,deep,melodic,motivational,upbeat","keyboard,synthesizer"
50,баагий (соло)- бүүвэй,no name,зам заяа,"dance,electronic,experimental,newwave,reggae","dream,groovy,melodic","classicalguitar,computer,synthesizer"
51,найз instrumental,no name,зам заяа,"ambient,dubstep,electronic","dream,film,melodic,relaxing,uplifting","keyboard,synthesizer"
52,өнчин,no name,өнчин,"drumnbass,easylistening,electronic,ethno,latin,reggae","advertising,cool,dream,emotional,game,happy,inspiring,melodic","computer,drums"
53,чин үнэнчээр,no name,өнчин,"ambient,blues,electronic,ethno,experimental,reggae,world","dream,emotional,love,melodic,uplifting","keyboard,synthesizer"
54,хөөрхий,no name,өнчин,"electronic,ethno,jazz,reggae","game,inspiring,relaxing,retro,sport,travel","drummachine,sampler"
56,битгий уйл,no name,өнчин,"blues,dance,electronic,ethno,instrumentalpop,pop","adventure,energetic,fast,happy,melodic,retro","bass,piano,sampler"
57,гүйлгээ,no name,өнчин,"electronic,ethno,fusion,reggae","adventure,ballad,dream,energetic,groovy,inspiring,melodic",beat
58,тэнэгүүд,no name,өнчин,"dance,electronic,ethno,hiphop,poprock,reggae,techno,trance","deep,energetic,happy,inspiring,melodic,uplifting","computer,electricguitar,sampler"
59,анхны амьдрал,no name,өнчин,"drumnbass,electronic,ethno,reggae","dream,inspiring,melancholic,melodic,uplifting","drummachine,synthesizer"
60,найз,no name,өнчин,"electronic,ethno,hiphop,indie,industrial,techno","dream,energetic,epic,film,groovy,inspiring,melancholic,upbeat","beat,computer,keyboard,sampler"
61,чин үнэнчээр,no name,өнчин,"dance,electronic,ethno,experimental,industrial,reggae,world","dream,emotional,love,melodic,sexy,slow","drums,synthesizer"
62,хайлсан шоколад,night train,цэнхэр шувуу,"country,electronic,indie,pop,poprock,techno","ambiental,epic,happy","guitar,keyboard,orchestra"
63,цагаан өнгөт асар,night train,цэнхэр шувуу,"blues,electronic,folk,funk,newwave,pop,poprock,techno","dream,epic,film,happy,love,movie,sad,uplifting","bass,drums,guitar"
64,дараа нь,night train,цэнхэр шувуу,"alternative,blues,instrumentalpop,pop,rnb","energetic,epic,happy","electricguitar,sampler"
65,бүрээтэй дуу,night train,цэнхэр шувуу,"country,darkambient,electronic,experimental,newwave,pop,poprock,synthpop,techno","dream,energetic,happy,uplifting",computer
66,үлэг гүрвэл,night train,цэнхэр шувуу,"alternative,electronic,funk,metal,poprock,punkrock,rap","energetic,epic,happy,retro,uplifting","accordion,computer"
67,шайгүрү,night train,цэнхэр шувуу,"metal,newwave,punkrock,rock","dark,dream,energetic,hopeful,retro",guitar
68,зүүдэндээ би,night train,цэнхэр шувуу,"chillout,electronic,ethno,folk,newwave,techno,triphop,world","adventure,corporate,dream,film,happy,melodic,romantic,sad","guitar,piano"
69,зөөлөн,night train,цэнхэр шувуу,"ambient,blues,classical,electronic,experimental,jazzfusion,pop,poprock,rock","christmas,dream,epic,happy,soundscape,summer","acousticguitar,computer"
70,w.w.w,night train,цэнхэр шувуу,"blues,country,dance,metal,pop,poprock,trance","commercial,dark,dream,epic,happy,inspiring,love","bass,guitar"
71,сүүлчийн гэрэл гэгээ,night train,цэнхэр шувуу,"classical,electronic,folk,pop,techno,trance","corporate,dream,energetic,happy,uplifting","acousticguitar,piano,sampler"
73,хоосон,uka,i am in love,"electronic,experimental,latin,pop,popfolk,reggae,trance","christmas,epic,fast,happy,melodic,uplifting","accordion,acousticguitar,computer"
74,hi lady's,uka,i am in love,"alternative,ethno,reggae,techno,trance","groovy,happy,melodic,uplifting","drummachine,sampler"
75,you and me,uka,i am in love,"african,electronic,ethno,pop","christmas,cool,dream,groovy,inspiring,upbeat","flute,keyboard"
76,танго,uka,i am in love,"blues,dance,electronic,funk,instrumentalpop,pop,reggae","groovy,melodic,party,retro,romantic,summer,upbeat","flute,orchestra,piano"
77,тэнгэр хөгжим тоглосоор,uka,i am in love,"electronic,ethno,techno,trance","adventure,deep,energetic,inspiring,melodic,powerful,uplifting","acousticguitar,keyboard,sampler"
78,санаснаас өөр,uka,i am in love,"electronic,trance","happy,melodic,powerful","drummachine,electricguitar"
79,би нислээ,uka,i am in love,"acidjazz,alternative,ambient,atmospheric,chillout,classical,darkambient,electronic,ethno,instrumentalrock,pop,techno","christmas,deep,drama,dream,epic,love,sexy,soundscape,uplifting","keyboard,sampler,synthesizer"
80,party-man,uka,i am in love,"dance,electronic,ethno,reggae,trance","energetic,fun,funny,groovy,inspiring,retro","drummachine,piano"
81,санаандгүй,uka,i am in love,"ambient,breakbeat,electronic,ethno,newage","dream,game,inspiring,melodic,motivational,sexy",piano
82,i am in love,uka,i am in love,"dubstep,electronic,reggae,world","deep,dream,fast,groovy,inspiring,melodic",synthesizer
83,би дуулахдаа,uka,i am in love,"easylistening,ethno,experimental,improvisation,pop,trance","christmas,dream,happy,nature,soundscape","keyboard,piano"
84,миний залуу,uka,i am in love,"electronic,ethno,experimental,pop,reggae,trance","christmas,dream,happy,inspiring,uplifting","electricguitar,keyboard"
85,пүүзний магнат,g-loc,пүүзний магнат,"drumnbass,electronic,house,reggae,techno","commercial,dark,dream,space,uplifting","computer,synthesizer"
86,төр улс минь гэрэлтээсэй,хар сарнай,зүгээр л сонс,"ambient,dance,easylistening,electronic,pop","cool,emotional,energetic,melancholic,melodic,summer","classicalguitar,sampler"
87,миний шүтээн,хар сарнай,зүгээр л сонс,"electronic,ethno,instrumentalpop,techno","cool,dream,game,inspiring,melodic",keyboard
88,секс бомб-сайхан дамшиг,хар сарнай,зүгээр л сонс,"african,blues,electronic,hiphop,instrumentalrock,pop","cool,melodic,sport,summer",sampler
89,хээл хахуулийн албин чөтгөр,хар сарнай,зүгээр л сонс,"dance,electronic,ethno,funk,newage,pop","dark,dream,holiday,love,melodic,retro,summer","beat,bongo,classicalguitar"
90,төрсөн өдрийн дуу,хар сарнай,зүгээр л сонс,"electronic,ethno,metal,techno","energetic,fun,melodic",keyboard
91,хамелеон охин,хар сарнай,зүгээр л сонс,"electronic,ethno,funk","holiday,melodic,movie,sport,summer","acousticbassguitar,orchestra"
92,баабам бээбэм,хар сарнай,зүгээр л сонс,"dance,drumnbass,electronic,soul,techno","dark,energetic,melodic",keyboard
93,хайрт минь,хар сарнай,зүгээр л сонс,"electronic,experimental,newwave,pop","christmas,cool,dream,happy,relaxing","drums,keyboard,orchestra"
94,аз жаргалын алтан хар сарнай,хар сарнай,зүгээр л сонс,"dance,drumnbass,electronic,funk,metal,pop,reggae","advertising,christmas,cool,dream,inspiring,melodic","bongo,drummachine,sampler"
95,black rose 003,хар сарнай,зүгээр л сонс,"electronic,ethno,funk,reggae","dream,inspiring,melancholic,party","beat,keyboard,sampler"
96,black rose,хар сарнай,зүгээр л сонс,"electronic,ethno,hiphop,industrial,pop","cool,dream,energetic,horror,inspiring,melancholic","keyboard,sampler"
97,дуу минь,хар сарнай,дайтна ч би мөргөнө ч би,"ambient,pop,psychedelic","dream,melodic,sport,summer,upbeat",synthesizer
98,охин тэнгэр,хар сарнай,дайтна ч би мөргөнө ч би,"electronic,funk,lounge,reggae,trance,worldfusion","adventure,dream,love,retro,sexy","bass,drummachine,orchestra"
99,аз жаргал хүсье,хар сарнай,дайтна ч би мөргөнө ч би,"dance,funk,industrial","energetic,fun,melodic",computer
100,хариутай,хар сарнай,дайтна ч би мөргөнө ч би,"electronic,hiphop,newage,psychedelic","dream,film,melodic,soft","bongo,computer"
101,амьдрал,хар сарнай,дайтна ч би мөргөнө ч би,"ambient,electronic,instrumentalpop,latin,pop,rock,techno","documentary,dream,epic,melodic,retro,sport",synthesizer
103,миний ээж,хар сарнай,дайтна ч би мөргөнө ч би,"blues,darkambient,easylistening,electronic,ethno,instrumentalrock,psychedelic,world","dream,epic,melodic,retro,soundscape,upbeat","accordion,bass,computer,drummachine"
104,цаг хугацаа,хар сарнай,дайтна ч би мөргөнө ч би,"industrial,instrumentalpop,rock","dream,energetic,happy,melodic,relaxing",computer
105,хөгжим,хар сарнай,дайтна ч би мөргөнө ч би,"ambient,chillout,electronic,experimental,newage,pop","dream,film,melodic,romantic","computer,keyboard"
106,зүүд (remix),хар сарнай,дайтна ч би мөргөнө ч би,"electronic,industrial,instrumentalpop","film,melodic,sport","beat,computer"
107,дайтна ч би мөргөнө ч би,хар сарнай,дайтна ч би мөргөнө ч би,"dance,easylistening,electronic,industrial,techno,trance","film,melodic,sport,upbeat","computer,percussion"
108,баатарын домог,хар сарнай,дайтна ч би мөргөнө ч би,"contemporary,easylistening,electronic,orchestral,pop,psychedelic,soundtrack,techno","christmas,dream,energetic,love,melodic,nature,relaxing,soundscape","brass,drummachine,pipeorgan,strings"
109,эх сайхан дэлхий,хар сарнай,дайтна ч би мөргөнө ч би,"dance,electronic,trance","fun,melodic,sport,uplifting",computer
110,эрчүүд,хар сарнай,хас,"electronic,funk,lounge,trance","cool,groovy,inspiring,melodic","drummachine,synthesizer"
111,чамайг би үргэлж хайрлана,хар сарнай,хас,"dance,electronic,house,newwave,techno","commercial,melodic,relaxing,sexy,summer","keyboard,sampler,synthesizer"
112,хас,хар сарнай,хас,"electronic,ethno,funk,metal,pop,techno","cool,melodic,movie,summer","beat,drummachine"
113,сүмтэй будрын чулуу,хар сарнай,хас,"electronic,funk,jazz,pop,reggae,techno,world","cool,film,fun,melodic,retro","bass,beat,electricpiano"
114,зүрхний уянга,хар сарнай,хас,"club,drumnbass,industrial,jazzfusion,pop,reggae","cool,emotional,groovy,melodic",keyboard
115,хүннү гүрэн,хар сарнай,хас,"electronic,jazz,progressive,techno","cool,dream,inspiring,melodic,relaxing,retro,sexy","beat,sampler"
116,бидний ертөнц,хар сарнай,хас,"electronic,funk,hiphop,progressive,techno,trance","energetic,melodic,relaxing,summer,uplifting",keyboard
117,зөвхөн чамдаа,хар сарнай,хас,"blues,dance,funk,instrumentalpop,jazz,latin,pop","dream,melodic,retro","beat,electricpiano,flute"
118,цагаан шөнийн хар хун,хар сарнай,хас,"breakbeat,electronic,pop,techno,trance","ambiental,cool,dramatic,melodic,motivational","bass,sampler"
119,тэнгэрийн дагина,хар сарнай,хас,"electronic,ethno,experimental,gothic,reggae,techno,trance","ambiental,cool,dramatic,groovy,melodic,soft",keyboard
120,"ганц, ганц, ганц",хар сарнай,хас,"dance,jazzfusion,pop,techno","cool,dark,melodic,upbeat",keyboard
121,"бүтээн, сөнөөнө",хар сарнай,great destroy,"electronic,techno,trance","dream,groovy,melodic,soundscape","brass,computer"
122,миний нутаг,хар сарнай,great destroy,"electronic,experimental,indie,industrial,instrumentalpop,jazz,pop,trance","dream,film,funny,love,melodic","computer,drummachine,synthesizer"
123,шөнийн охин,хар сарнай,great destroy,"electronic,hiphop,instrumentalpop,metal,rock","dream,film,fun,melodic","computer,synthesizer"
124,тийм биз дээ,хар сарнай,great destroy,"electronic,pop,poprock,psychedelic,reggae,trance","cool,dream,melodic,party,relaxing,upbeat","bongo,computer,orchestra"
125,чи минь,хар сарнай,great destroy,"blues,instrumentalrock,latin,progressive,techno","dark,dream,love,melodic,movie,sport",bass
126,хэдэн зуунаар,хар сарнай,great destroy,"ambient,blues,choir,dance,electronic,reggae","dream,epic,love,melodic,sport","computer,drums"
127,шувууд,хар сарнай,great destroy,"electronic,funk,instrumentalpop,instrumentalrock,newage,pop,poprock","dream,holiday,inspiring,love,melodic","drummachine,guitar"
128,сэрүүлэг,хар сарнай,great destroy,"easylistening,electronic,pop,rock,world","dark,melodic,relaxing,space",computer
129,хар сарнай,хар сарнай,great destroy,"easylistening,electronic,experimental,fusion,industrial,instrumentalpop","christmas,dream,melodic,retro,upbeat","computer,synthesizer"
130,хайр гэгчийн эзэн чи,хар сарнай,great destroy,"electronic,experimental,latin,pop,popfolk","dream,happy,love,melodic,soft","drummachine,synthesizer"
131,ээж минь,хар сарнай,great destroy,"classical,electronic,ethno,jazzfusion,orchestral,pop,psychedelic,world","adventure,christmas,dramatic,dream,epic,happy,relaxing,sad","keyboard,piano,synthesizer"
132,тэнгэрийн тамга,хар сарнай,тэнгэрийн тамга,"blues,classical,electronic,ethno,folk,pop,poprock,progressive","dream,energetic,epic,fast,fun,happy,love,melodic","accordion,computer,electricguitar,piano"
133,үзэсгэлэнт бүсгүй,хар сарнай,тэнгэрийн тамга,"dance,drumnbass,dub,electronic,house,industrial,techno","commercial,dream,emotional,epic,happy,melodic,movie,party,upbeat","computer,synthesizer"
134,хайртай шүү би чамдаа,хар сарнай,тэнгэрийн тамга,"atmospheric,electronic,experimental,newwave,pop","christmas,dream,emotional,inspiring,romantic,sport",orchestra
135,бүх юм сайхан,хар сарнай,тэнгэрийн тамга,"electronic,groove,industrial","christmas,dream,melodic,movie,party","orchestra,sampler"
136,өөрөөр амьдарцгаая,хар сарнай,тэнгэрийн тамга,"blues,country,drumnbass,electronic,ethno,experimental,folk,indie,pop,world","ambiental,dream,energetic,happy,inspiring,retro,sexy,sport,upbeat,uplifting","drummachine,orchestra"
137,их хаантай учирсан зүүд-1,хар сарнай,тэнгэрийн тамга,"blues,electronic,hiphop,pop,popfolk,progressive","dream,film,fun,inspiring,melodic,movie,relaxing,retro,sexy,upbeat","bongo,computer,orchestra"
138,шөнийн дайралт,хар сарнай,тэнгэрийн тамга,"drumnbass,electronic,house,rock,world","adventure,dream,energetic,melodic,movie,summer","acousticbassguitar,computer"
139,өө хайрт минь,хар сарнай,тэнгэрийн тамга,"disco,electronic,funk,metal,poprock,progressive,reggae","inspiring,melodic,uplifting","sampler,synthesizer"
140,дүүлэнхэн нисээч,хар сарнай,тэнгэрийн тамга,"electronic,industrial,poprock,reggae,techno,world","dream,energetic,fun,melancholic,party,upbeat","bongo,piano"
141,чингис хаан,хар сарнай,тэнгэрийн тамга,"blues,country,electronic,industrial,metal,trance","dream,energetic,melodic,retro,soft,sport","drums,guitar"
142,хар сарнай туг сүлд,хар сарнай,тэнгэрийн тамга,"blues,chanson,electronic,grunge,pop","dream,energetic,groovy,retro,sport,upbeat",drummachine
143,би монгол хүн,амараа (хар сарнай),би монгол хүн,"electronic,ethno,hiphop,house,reggae","adventure,ambiental,happy,holiday,party,soundscape",computer
144,жалам хар,амараа (хар сарнай),би монгол хүн,"electronic,heavymetal,techno,trance","dramatic,energetic,inspiring,melodic,space","computer,synthesizer"
145,хас,амараа (хар сарнай),би монгол хүн,"disco,electronic,funk,fusion,hiphop,techno","energetic,happy,melodic,movie",sampler
146,үндэсний минь цаг ирж байна,амараа (хар сарнай),би монгол хүн,"ambient,dance,deephouse,electronic,groove,poprock,reggae,techno,trance,world","energetic,fun,happy,love,melodic,party,powerful,retro,soft","classicalguitar,keyboard,piano"
147,урагшаа,амараа (хар сарнай),би монгол хүн,"dance,drumnbass,electronic,hiphop,reggae,techno,world","cool,energetic,melodic,retro,upbeat","drummachine,sampler"
148,тэнгэрийн тамга,амараа (хар сарнай),би монгол хүн,"ambient,blues,country,electronic,ethno,folk,metal,poprock,progressive","dramatic,dream,energetic,epic,happy,holiday,melodic,soundscape,sport,uplifting","accordion,computer,keyboard,piano,sampler"
149,их хаантай учирсан зүүд,амараа (хар сарнай),би монгол хүн,"alternative,country,dance,electronic,funk,instrumentalpop,metal,pop,punkrock","epic,happy,holiday,melodic,movie,party,sexy","computer,guitar,orchestra"
150,чингис хаан,амараа (хар сарнай),би монгол хүн,"country,electronic,industrial","energetic,epic,funny,inspiring,melodic,retro,sport","acousticbassguitar,orchestra,synthesizer"
151,баатарын домог,амараа (хар сарнай),би монгол хүн,"atmospheric,disco,electronic,lounge,newage,oriental,psychedelic","energetic,epic,fast,holiday,melodic,movie,powerful,space,uplifting","guitar,strings,synthesizer"
152,монгол туургатан,амараа (хар сарнай),би монгол хүн,"club,electronic,experimental,psychedelic,reggae,techno,trance","adventure,cool,deep,dream,energetic,epic,happy,inspiring,melodic,uplifting","bass,piano"
153,дүүлэнхэн нисээч,амараа (хар сарнай),би монгол хүн,"country,electronic,indie,lounge,pop,poprock,rock","dream,energetic,party,retro,uplifting","acousticguitar,computer,guitar"
154,үзэсгэлэнт бүсгүй,амараа (хар сарнай),би монгол хүн,"country,dance,drumnbass,electronic,house,industrial,latin,techno","dream,energetic,epic,fun,holiday,inspiring,melodic,motivational,movie,sport","accordion,drummachine"
155,миний ээж,амараа (хар сарнай),би монгол хүн,"blues,country,easylistening,electronic,hiphop,lounge,rap,swing","commercial,dream,energetic,epic,fast,love,retro,upbeat","accordion,piano,sampler"
156,миний нутаг,амараа (хар сарнай),би монгол хүн,"blues,dance,electronic,hiphop,instrumentalpop,jazz,pop,reggae","cool,dream,inspiring,melodic,soundscape","bongo,drummachine,sampler,synthesizer"
157,хар сарнай хамаг монголд төрсөн,амараа (хар сарнай),би монгол хүн,"electronic,ethno,rock,techno","cool,dream,film,melancholic,movie,sport","acousticbassguitar,drums,synthesizer"
158,төрийн дуулал,амараа (хар сарнай),би монгол хүн,"blues,electronic,house,psychedelic","adventure,energetic,epic,happy,retro","computer,drummachine"
159,intro,funk beat,funk beat,"easylistening,electronic","christmas,dark,fun",computer
160,шуугиан дуулиан ft m.c,funk beat,funk beat,"electronic,ethno,latin,reggae","dream,energetic,inspiring,party",beat
161,хайртай гэдгээ хэлээч,funk beat,funk beat,"electronic,ethno,newage,reggae,techno","advertising,ambiental,dream,fast,inspiring,upbeat","beat,synthesizer"
162,бурхан,funk beat,funk beat,"electronic,fusion,instrumentalpop,reggae","cool,groovy,inspiring,melodic,movie,party,retro,sport","orchestra,piano"
164,чамдаа хайртай,funk beat,funk beat,"easylistening,electronic,fusion,hiphop,lounge,reggae","cool,inspiring,melodic,party,retro,soundscape","beat,computer,piano"
165,хайраа хайна,funk beat,funk beat,"drumnbass,electronic,lounge,reggae","dream,melodic,romantic,uplifting","classicalguitar,sampler"
166,үнс үнс ft zaya,funk beat,funk beat,"african,drumnbass,electronic,ethno,funk,hiphop","christmas,cool,dream,inspiring,melancholic,relaxing,soundscape",keyboard
168,why,funk beat,funk beat,"dance,easylistening,electronic,ethno,pop,reggae,world","groovy,melodic","classicalguitar,electricpiano"
169,чи надад ...,funk beat,funk beat,"electronic,pop,popfolk,reggae,trance","cool,inspiring,melodic","beat,computer,synthesizer"
170,i know,funk beat,funk beat,"electronic,ethno,reggae,techno","dream,epic,fast,holiday,party,sport",sampler
171,don juan ft erka,funk beat,funk beat,"electronic,ethno,funk,pop,reggae","game,inspiring,melodic,space","computer,drums,electricguitar"
172,цорын ганц ft mess,funk beat,funk beat,"electronic,experimental,reggae","christmas,energetic,fast,inspiring,melodic","electricguitar,keyboard"
173,4:1,funk beat,funk beat,"blues,dance,electronic,ethno,funk,hiphop,pop","energetic,fun,happy,melodic,motivational,retro,soundscape,upbeat","accordion,drummachine"
174,4:1 (instrumental),funk beat,funk beat,"blues,fusion,instrumentalrock,jazzfusion,progressive,rock,world","fast,melodic,relaxing,retro,soundscape","acousticguitar,bass,piano"
175,lingo,don dior,devil inside,"disco,drumnbass,electronic,ethno,funk,reggae,trance,world","fast,film,happy,party,powerful,retro,sad",computer
176,gangs khaan,don dior,devil inside,"easylistening,electronic,ethno,fusion,hiphop,lounge","adventure,dream,party,upbeat","computer,drummachine"
177,still trapping,don dior,devil inside,"electronic,ethno,techno","adventure,inspiring,melodic,party,retro",computer
178,power,don dior,devil inside,"drumnbass,electronic,fusion,house,jazz,techno","advertising,energetic,happy,melodic,relaxing,retro,summer","computer,pad,piano"
179,lovely bae,don dior,devil inside,"chillout,electronic,jazz,reggae","deep,melodic,motivational,relaxing,uplifting","beat,piano"
180,ma killa,don dior,devil inside,"deephouse,drumnbass,electronic,experimental,hiphop,reggae,techno","christmas,energetic,inspiring,melodic,sport","classicalguitar,computer,sampler"
181,water,don dior,devil inside,"electronic,hiphop,newwave","dream,inspiring,melodic,movie","bongo,computer"
182,all night,don dior,devil inside,"electronic,lounge,pop","deep,melodic,party,powerful,relaxing",computer
183,where you from,don dior,devil inside,"ambient,chillout,electronic,lounge,pop,reggae","adventure,dream,epic,happy,relaxing,retro,sport","drummachine,orchestra"
184,desire,don dior,devil inside,"african,electronic,minimal,poprock,reggae,world","dream,film,fun,melodic,uplifting",keyboard
185,breath,don dior,devil inside,"electronic,house,reggae","dream,film,relaxing",orchestra
186,hellam,don dior,devil inside,"drumnbass,dub,electronic,funk,hiphop,jazz,techno","cool,dream,inspiring,melodic,party,relaxing,summer","computer,orchestra"
187,harnuh,don dior,devil inside,"electronic,funk,hiphop,house,industrial","dream,energetic,fast,happy,retro,sport","computer,drummachine,sampler"
188,666,don dior,devil inside,"electronic,house,techno","cool,happy,melodic,retro,summer","computer,keyboard"
189,7 сарын 1,don dior,devil inside,"electronic,techno","dream,movie,powerful,retro,sport",computer
